###########Trait Localization###########
#Cao Dai Traits
mahayana_pureland_desc;Pure Land Movement emphasize devotion to Amitabha as they believe that enlightenment outside the Pure Lands is far too difficult for to be undertaken by mere humans, thus the goal is for a rebirth into his domain.;;;;;;;;;;;;;x

#General Traits
vegetarian;Vegetarian;;;;;;;;;;;;;x
vegetarian_desc;This character has committed to a vegetarian diet.;;;;;;;;;;;;;x

#Sympathy Traits
sympathy_japonic;Sympathy for [japonic.GetGroupName];;;;;;;;;;;;;x
sympathy_japonic_desc;This character, though not a follower of any of the [japonic.GetGroupName] faiths, has a special sympathy and understanding for those faiths and their practicioners.;;;;;;;;;;;;;x
sympathy_eastern;Sympathy for [eastern.GetGroupName];;;;;;;;;;;;;x
sympathy_eastern_desc;This character, though not a follower of any of the [eastern.GetGroupName] faiths, has a special sympathy and understanding for those faiths and their practicioners.;;;;;;;;;;;;;x
sympathy_latter_day_saints;Sympathy for [mormon.GetGroupName];;;;;;;;;;;;;x
sympathy_latter_day_saints_desc;This character, though not a [mormon.GetName], has a special sympathy and understanding for the [mormon.GetName] faith and its practitioners.;;;;;;;;;;;;;x
sympathy_oldworld;Sympathy for [oldworld.GetGroupName];;;;;;;;;;;;;x
sympathy_oldworld_desc;This character, though not a follower of any of the [oldworld.GetGroupName] faiths, has a special sympathy and understanding for those faiths and their practicioners.;;;;;;;;;;;;;x
sympathy_nautical;Sympathy for [nautical.GetGroupName];;;;;;;;;;;;;x
sympathy_nautical_desc;This character, though not a [nautical.GetGroupName], has a special sympathy and understanding for the [brethren.GetName] faith and its practicioners.;;;;;;;;;;;;;x

###########AtE Fan Fork Trait Localization###########
musician;Musician;;;;;;;;;;;;;x
musician_desc;This character is a proficient musician, using [GetHerHis] voice and various instruments to play both ballads of yore and brand-new compositions.;;;;;;;;;;;;;x
bisexual;Bisexual;;;;;;;;;;;;;x
bisexual_desc;This character swings both ways.;;;;;;;;;;;;;x
legendary;Legendary;;;;;;;;;;;;;x
legendary_desc;This figure is only known through oral tradition, fragmentary Old World documentation or is simply surrounded by so much myth that no one can separate fact from fiction anymore.;;;;;;;;;;;;;x
pious;Devout;;;;;;;;;;;;;x
pious_desc;This character is a devout follower of [Root.Religion.GetHighGodName], attempting to follow a righteous and holy path of life.;;;;;;;;;;;;;x

###########AGOT Trait Localization###########
authoritative;Authoritative;Autoritaire;;;Autoritario;;;;;;;;;x
authoritative_desc;When this character speaks, they speak with a natural authoritative tone;Lorsque ce personnage parle, il s'exprime avec un ton naturellement autoritaire;;;Cuando este personaje habla, siempre lo hace con un tono natural de autoridad;;;;;;;;;x
rude;Rude;Grossier;;;Grosero;;;;;;;;;x
rude_desc;This character uses very inappropriate language!;Ce personnage utilise un langage inapproprié !;;;¡Este personaje utiliza un lenguaje inapropiado!;;;;;;;;;x
ruthless;Ruthless;Impitoyable;;;Despiadado;;;;;;;;;x
ruthless_desc;This character believes that the ends justify the means, and will stop at nothing to achieve their goals.;Ce personnage pense que la fin justifie les moyens et ne reculera devant rien pour atteindre ses objectifs.;;;Este personaje piensa que el fin justifica los medios y no reculará ante nadie para lograr sus objetivos.;;;;;;;;;x
honorable;Honorable;Honorable;;;Honorable;;;;;;;;;x
honorable_desc;This character is a firm believer in the importance of duty, mercy, and honor.;Ce personnage croit fermement en l'importance du devoir, de la pitié et de l'honneur.;;;Este personaje cree firmemente en la importancia del deber, la piedad y el honor.;;;;;;;;;x
familyperson;Family Person;Attaché(e) à la famille;;;Familiar;;;;;;;;;x
familyperson_desc;This character will do more than most for their kinsmen.;Ce personnage fera tout ce qu'il peut pour sa parenté.;;;Este personaje hará todo lo que pueda por su familia.;;;;;;;;;x
selfish;Selfish;Égoïste;;;Egoísta;;;;;;;;;x
selfish_desc;This character is very selfish.;Ce personnage est particulièrement égoïste.;;;Este personaje es muy egoísta.;;;;;;;;;x
blinded_age;Blind from Age;Aveugle;;;Ciego por la edad;;;;;;;;;x
blinded_age_desc;This character is old and their eyes no longer have the ability to see;Ce personnage est âgé et a perdu la vue;;;Este personaje es un anciano y ha perdido la vista;;;;;;;;;x
crippled;Crippled;Estropié;;;Lisiado;;;;;;;;;x
crippled_desc;This character suffered a serious injury in the past, and has lost usage of a part of his body. This has left them unable to move without great difficulty.;Ce personnage a souffert d'une sérieuse blessure par le passé et il a perdu l'usage d'un de ses membres. Cela l'empêche de se mouvoir correctement ou sans souffrir atrocement.;;;Este personaje sufrió una lesión grave en el pasado y ha perdido el uso de uno de sus miembros.;;;;;;;;;x
